artists-href: "http://aghanilyrics.com/allsongslyrics.php?songslyrics=najah-sallam&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%86%D8%AC%D8%A7%D8%AD-%D8%B3%D9%84%D8%A7%D9%85"
songs: "كلمات اغنية فيها وفيها ومافيها نجاح سلام"
songs-href: "http://aghanilyrics.com/songlyrics.php?lyrics=17950&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D9%81%D9%8A%D9%87%D8%A7-%D9%88%D9%81%D9%8A%D9%87%D8%A7-%D9%88%D9%85%D8%A7%D9%81%D9%8A%D9%87%D8%A7-%D9%86%D8%AC%D8%A7%D8%AD-%D8%B3%D9%84%D8%A7%D9%85"
lyrics: "فيها وفيها ومافيها
.
web-scraper-order: "1528753454-175"
web-scraper-start-url: "http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9"
artists: "كلمات اغاني قمر"
artists-href: "http://aghanilyrics.com/allsongslyrics.php?songslyrics=kamar&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%82%D9%85%D8%B1"
songs: "كلمات اغنية العتبه جزاز قمر"
songs-href: "http://aghanilyrics.com/songlyrics.php?lyrics=18071&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D8%A7%D9%84%D8%B9%D8%AA%D8%A8%D9%87-%D8%AC%D8%B2%D8%A7%D8%B2-%D9%82%D9%85%D8%B1"
lyrics: "العتبه جزاز
.
web-scraper-order: "1528753353-135"
web-scraper-start-url: "http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9"
artists: "كلمات اغاني مارسيل خليفة"
artists-href: "http://aghanilyrics.com/allsongslyrics.php?songslyrics=marcel-khalife&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%85%D8%A7%D8%B1%D8%B3%D9%8A%D9%84-%D8%AE%D9%84%D9%8A%D9%81%D8%A9"
songs: "كلمات اغنية ايمن مارسيل خليفة"
songs-href: "http://aghanilyrics.com/songlyrics.php?lyrics=18416&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D8%A7%D9%8A%D9%85%D9%86-%D9%85%D8%A7%D8%B1%D8%B3%D9%8A%D9%84-%D8%AE%D9%84%D9%8A%D9%81%D8%A9"
lyrics: "ايمن
.
web-scraper-order: "1528753755-301"
web-scraper-start-url: "http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9"
artists: "كلمات اغاني ايمن زبيب"
artists-href: "http://aghanilyrics.com/allsongslyrics.php?songslyrics=ayman-zbib&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D8%A7%D9%8A%D9%85%D9%86-%D8%B2%D8%A8%D9%8A%D8%A8"
songs: "كلمات اغنية سميتك ماما ايمن زبيب"
songs-href: "http://aghanilyrics.com/songlyrics.php?lyrics=15821&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D8%B3%D9%85%D9%8A%D8%AA%D9%83-%D9%85%D8%A7%D9%85%D8%A7-%D8%A7%D9%8A%D9%85%D9%86-%D8%B2%D8%A8%D9%8A%D8%A8"
lyrics: "سميتك ماما
.
web-scraper-order: "1528753415-159"
web-scraper-start-url: "http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9"
artists: "كلمات اغاني مارسيل خليفة"
artists-href: "http://aghanilyrics.com/allsongslyrics.php?songslyrics=marcel-khalife&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%85%D8%A7%D8%B1%D8%B3%D9%8A%D9%84-%D8%AE%D9%84%D9%8A%D9%81%D8%A9"
songs: "كلمات اغنية احبك اكثر مارسيل خليفة"
songs-href: "http://aghanilyrics.com/songlyrics.php?lyrics=18363&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D8%A7%D8%AD%D8%A8%D9%83-%D8%A7%D9%83%D8%AB%D8%B1-%D9%85%D8%A7%D8%B1%D8%B3%D9%8A%D9%84-%D8%AE%D9%84%D9%8A%D9%81%D8%A9"
lyrics: "احبك اكثر
.
web-scraper-order: "1528753250-122"
web-scraper-start-url: "http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9"
artists: "كلمات اغاني مارسيل خليفة"
artists-href: "http://aghanilyrics.com/allsongslyrics.php?songslyrics=marcel-khalife&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%85%D8%A7%D8%B1%D8%B3%D9%8A%D9%84-%D8%AE%D9%84%D9%8A%D9%81%D8%A9"
songs: "كلمات اغنية ريتا مارسيل خليفة"
songs-href: "http://aghanilyrics.com/songlyrics.php?lyrics=18440&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D8%B1%D9%8A%D8%AA%D8%A7-%D9%85%D8%A7%D8%B1%D8%B3%D9%8A%D9%84-%D8%AE%D9%84%D9%8A%D9%81%D8%A9"
lyrics: "ريتا
.
web-scraper-order: "1528753166-91"
web-scraper-start-url: "http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9"
artists: "كلمات اغاني نيلى مقدسي"
artists-href: "http://aghanilyrics.com/allsongslyrics.php?songslyrics=nely-makdsy&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%86%D9%8A%D9%84%D9%89-%D9%85%D9%82%D8%AF%D8%B3%D9%8A"
songs: "كلمات اغنية انا ايه نيلى مقدسي"
